id,data_reclamacao,estado,regiao,categoria,status,texto
1,2024-03-02,MG,Sudeste,Transporte Aéreo,Em análise,péssima companhia
2,2024-05-19,SP,Sudeste,Telecomunicações,Não resolvida,pessimo
3,2024-06-20,SE,Nordeste,Comércio Eletrônico,Em análise,"comprei pra presentear, chegou ATRASADO E QUEBRADO, ja fiz protocolo umas 5 vezes na Mercado Livre.  Vou registrar no Procon."
4,2023-01-21,SP,Sudeste,Bancos e Cartões,Em análise,A taxa de juros do cheque especial saltou de 3% para 12% sem aviso prévio. Me sinto enganada como cliente há mais de 10 anos. 😤😭
5,2024-05-15,SP,Sudeste,Telecomunicações,Não resolvida,pessimo
6,2024-08-12,RJ,Sudeste,Telecomunicações,Sem resposta da empresa,"Meu plano de telefonia da Tim parou de funcionar após uma atualização do sistema, e há 5 dias não consigo fazer ligações."
7,2024-05-22,PE,Nordeste,Transporte Aéreo,Resolvida,<p>Pedi cancelamento e nada foi feito.</p><br/><strong>Reembolso pendente</strong>
8,2024-05-12,MG,Sudeste,Bancos e Cartões,Resolvida,"Tive uma compra não reconhecida no valor de R$ 585,56 contestada há 10 dias e o Santander não retornou com nenhuma resposta."
9,2023-11-13,BA,Nordeste,Comércio Eletrônico,Não resolvida,Comprei um produto na Shopee no dia 15/08/23 e até agr naum recebi O prazo era de 10 dias e já se passaram 25
10,2024-04-22,CE,Nordeste,Telecomunicações,Resolvida,"Solicitei o cancelamento do plano em 05/03/2023 e continuei sendo cobrado. Já enviei e-mail, liguei na central e nada foi feito."
11,2024-07-30,SP,Sudeste,Telecomunicações,Resolvida,"fala que tem 100 mega mas chega aqui em casa 25 mega no maximo, isso e propaganda enganosa nao? quero meu dinhero de volta.  Estou indignado."
12,2024-11-11,SP,Sudeste,Imobiliário,Não resolvida,A Direcional naum respondeu ao meu protocolo nº 2559323.  Aguardo retorno.
13,2024-10-02,PB,Nordeste,Comércio Eletrônico,Não resolvida,Recebi o produto errado da Submarino: pedi um notebook e veio um carregador. Requisitei a troca há duas uns dias e ninguém retorna.
14,2024-03-15,PR,Sul,Bancos e Cartões,Resolvida,"Solicitei a portabilidade do meu salário para o Inter em 06/12/2023 e até hoje, 90 dias depois, o processo não foi concluído."
